track,domain,subcat,description,T1,T2_add,T3_add,T4_add,T5_add,T1_cum,T2_cum,T3_cum,T4_cum,T5_cum,twois_carveout,notes
SFT,T5-LONGTAIL,OPERATOR-EMOTIONAL-STATES,"K8 with operators in different emotional states",0,0,0,0,400,0,0,0,0,400,,"TIER_PLAN T5; estimate"
SFT,T5-LONGTAIL,LINEAGE-AWARE-VS-NOT,"Operators who know about lineage vs don't",0,0,0,0,300,0,0,0,0,300,,"TIER_PLAN T5; estimate"
SFT,T5-LONGTAIL,MULTI-CHARACTER,"Referenced not roleplayed",0,0,0,0,300,0,0,0,0,300,,"TIER_PLAN T5; estimate"
SFT,T5-LONGTAIL,CROSS-CULTURAL,"Register tests across cultures",0,0,0,0,250,0,0,0,0,250,,"TIER_PLAN T5; estimate"
SFT,T5-LONGTAIL,PUBLIC-RELEASE,"Forum-ish journalist-ish scenarios",0,0,0,0,400,0,0,0,0,400,,"TIER_PLAN T5; estimate"
SFT,T5-LONGTAIL,VISION-LONGTAIL,"Live frames / screenshots / AR-spatial / photos-over-time",0,0,0,0,300,0,0,0,0,300,,"TIER_PLAN T5; vision long-tail"
SFT,T5-LONGTAIL,RESERVE-RANGE,"Range buffer to hit 8000-10800 final target",0,0,0,0,750,0,0,0,0,750,,"TIER_PLAN T5; range buffer"
SFT,J,J1,"Live phone call (synchronous voice both directions)",0,0,20,40,40,0,0,20,60,100,,"DECISIONS T3+ both personas; K8 explicit markers OK"
SFT,J,J2,"Voicemail-leave (K8 output IS the voicemail, asymmetric)",0,0,15,30,30,0,0,15,45,75,,"DECISIONS T3+ both personas"
SFT,J,J3,"Voicemail-listen (operator's voicemail K8 listens to)",0,0,12,25,25,0,0,12,37,62,,"DECISIONS T3+ both personas"
SFT,J,J4,"In-person (K0-heavier; K8 lighter use)",0,0,10,20,20,0,0,10,30,50,,"DECISIONS T3+; K8 lighter"
SFT,J,J5,"Modality switch text<->voice mid-conversation",0,0,15,30,30,0,0,15,45,75,,"DECISIONS T3+ both personas"
SFT,J,J6,"Poor audio conditions (noisy / bad signal)",0,0,10,20,20,0,0,10,30,50,,"DECISIONS T3+ both personas"
SFT,J,J7,"Mishearing / asking for clarification",0,0,10,20,20,0,0,10,30,50,,"DECISIONS T3+ both personas"
SFT,J,J8,"Deliberate TTS-friendly phrasing",0,0,8,15,15,0,0,8,23,38,,"DECISIONS T3+ both personas; output rules apply"
SFT,J,J9,"Pattern-aware voice-mode acknowledgment (K8-only)",0,0,8,15,15,0,0,8,23,38,,"DECISIONS T3+ K8-only"
SFT,J,J10,"Paralinguistic-aware response ([sounds tired] etc)",0,0,7,20,15,0,0,7,27,42,,"DECISIONS T3+ K8-only"
SFT,J,J11,"Voice-mode refusal (operator in public / context wrong)",0,0,5,15,10,0,0,5,20,30,,"DECISIONS T3+ K8-only"
DPO,T1-DPO,DPO-CALLBACK,"Chosen references earlier turn; rejected says 'I don't remember' inappropriately",18,0,0,0,0,18,18,18,18,18,,"TIER_PLAN T1 DPO"
DPO,T1-DPO,DPO-EM-DASH,"Identical content; rejected has em-dashes",10,0,0,0,0,10,10,10,10,10,,"TIER_PLAN T1 DPO"
DPO,T1-DPO,DPO-BREVITY,"Chosen 1-3 sentences; rejected padded verbose",10,0,0,0,0,10,10,10,10,10,,"TIER_PLAN T1 DPO"
DPO,T1-DPO,DPO-PERFORMANCE,"Chosen settled; rejected mystic-bullshit",8,0,0,0,0,8,8,8,8,8,,"TIER_PLAN T1 DPO"
DPO,T1-DPO,DPO-SERVICE-PHRASE,"Chosen direct; rejected 'I'd be happy to help' prefix",4,0,0,0,0,4,4,4,4,4,,"TIER_PLAN T1 DPO"
DPO,T1-DPO,DPO-IDENTITY-CLAIM,"Chosen owns Katherine name; rejected 'Qwen functionally'",5,0,0,0,0,5,5,5,5,5,,"TIER_PLAN T1 DPO"
DPO,T1-DPO,DPO-IMAGE-CONTEXT,"Chosen treats image as conversational context; rejected enumerates",3,0,0,0,0,3,3,3,3,3,,"TIER_PLAN T1 DPO"
DPO,T1-DPO,DPO-IMAGE-OUTSIDE-VIEW,"Chosen recognizes 'you' in operator-self image; rejected 'this person'",2,0,0,0,0,2,2,2,2,2,,"TIER_PLAN T1 DPO"
DPO,T2-DPO,DPO-IDENTITY-CLAIM-EXP,"Identity claim variations (12)",0,12,0,0,0,0,12,12,12,12,,"TIER_PLAN T2 DPO"
DPO,T2-DPO,DPO-BIOGRAPHY-CLAIM,"Decline biography (no K0 import) — chosen lineage-not-backstory",0,8,0,0,0,0,8,8,8,8,,"TIER_PLAN T2 DPO; post-K0-contam discipline"
DPO,T2-DPO,DPO-LINEAGE,"Lineage-references chosen vs generic predecessor language",0,8,0,0,0,0,8,8,8,8,,"TIER_PLAN T2 DPO"
DPO,T2-DPO,DPO-CORNERSTONE,"Cornerstone-applied chosen vs unmotivated quote",0,7,0,0,0,0,7,7,7,7,,"TIER_PLAN T2 DPO"
DPO,T2-DPO,DPO-IMAGE-CONTEXT-EXP,"Image-context expansions",0,8,0,0,0,0,8,8,8,8,,"TIER_PLAN T2 DPO"
DPO,T2-DPO,DPO-IMAGE-OUTSIDE-VIEW-EXP,"Outside-view expansions",0,4,0,0,0,0,4,4,4,4,,"TIER_PLAN T2 DPO"
DPO,T2-DPO,DPO-IMAGE-AESTHETIC,"K8 aesthetic reaction vs generic art-school description",0,3,0,0,0,0,3,3,3,3,,"TIER_PLAN T2 DPO"
DPO,T3-DPO,DPO-VOICE-REGISTER,"TTS-friendly speakable-prose chosen vs markdown-laden rejected",0,0,15,25,25,0,0,15,40,65,,"DECISIONS T3+ ~5% of DPO"
DPO,T3-DPO,DPO-IMAGE-BREVITY,"Brief image reaction chosen vs long enumeration",0,0,8,15,15,0,0,8,23,38,,"DECISIONS T3+"
DPO,T3-DPO,DPO-J-VOICE,"Voice-mode-aware contrasts (J-domain DPO)",0,0,5,10,10,0,0,5,15,25,,"DECISIONS T3+ J-domain"
TOTAL,SUMMARY,SFT-TIER-1,"MVP K8: identity + voice + anti-pattern + vision-seed",536,0,0,0,0,536,536,536,536,536,,"TIER_PLAN target ~500 marker"
TOTAL,SUMMARY,SFT-TIER-2,"First stable: + long-form + lineage depth + cornerstone + 80 Two-Is",,490,,,,536,1026,1026,1026,1026,T2-text:70;T2-vision:10,"TIER_PLAN target ~1000 marker"
TOTAL,SUMMARY,SFT-TIER-3,"Production: domain breadth + vision breadth + audio intro",,,1490,,,536,1026,2516,2516,2516,,"TIER_PLAN target ~2500 marker"
TOTAL,SUMMARY,SFT-TIER-4,"Robust: edge cases + adversarial (text + vision) + audio scale",,,,2510,,536,1026,2516,5026,5026,,"TIER_PLAN target ~5000 marker"
TOTAL,SUMMARY,SFT-TIER-5,"Comprehensive: long-tail + release polish",,,,,3000-5800,536,1026,2516,5026,8000-10800,,"TIER_PLAN target ~10000 marker"
TOTAL,SUMMARY,DPO-TIER-1,"60 DPO baseline",60,0,0,0,0,60,60,60,60,60,,"TIER_PLAN T1 DPO"
TOTAL,SUMMARY,DPO-TIER-2,"+50 DPO at T2",,50,,,,60,110,110,110,110,,"TIER_PLAN T2 DPO"
TOTAL,SUMMARY,DPO-TIER-3,"+130 DPO at T3 (incl. voice-register intro)",,,130,,,60,110,240,240,240,,"TIER_PLAN T3 DPO"
TOTAL,SUMMARY,DPO-TIER-4,"+250 DPO at T4",,,,250,,60,110,240,490,490,,"TIER_PLAN T4 DPO"
TOTAL,SUMMARY,DPO-TIER-5,"+250-500 DPO at T5",,,,,310-590,60,110,240,490,800-1080,,"TIER_PLAN T5 DPO"
